,country_region,Model,Scenario,Category,Subcategory,Indicator,composite_name,Definition,Unit,Year,Value,Timestamp
22,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,BC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | BC",Black carbon emissions from the agriculture sector,kt/yr,2100,,2100-01-01
23,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,BC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | BC",Black carbon emissions from the agriculture sector,kt/yr,2100,,2100-01-01
24,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,F-gases,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | F-gases",F-gases emissions from the agriculture sector,Mt CO2e/yr,2100,,2100-01-01
25,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,SOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | SOx",Sulfur oxides emissions from the agriculture sector,kt/yr,2100,,2100-01-01
26,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,SOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | SOx",Sulfur oxides emissions from the agriculture sector,kt/yr,2100,,2100-01-01
27,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest set-asides,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest set-asides",Area of land affected by forest set-asides,million Ha/yr,2100,,2100-01-01
28,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest set-asides,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest set-asides",Area of land affected by forest set-asides,million Ha/yr,2100,,2100-01-01
29,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by afforestation and reforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by afforestation and reforestation",Area of land affected by afforestation and reforestation,million Ha/yr,2100,,2100-01-01
30,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,NOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | NOx",Nitrogen oxides emissions from agriculture sector,kt/yr,2100,,2100-01-01
31,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,NOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | NOx",Nitrogen oxides emissions from agriculture sector,kt/yr,2100,,2100-01-01
32,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Petroleum diesel,"Agriculture, Land Use and Forestry | Agriculture energy use | Petroleum diesel",Petroleum diesel consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
33,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Petroleum diesel,"Agriculture, Land Use and Forestry | Agriculture energy use | Petroleum diesel",Petroleum diesel consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
34,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by afforestation and reforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by afforestation and reforestation",Area of land affected by afforestation and reforestation,million Ha/yr,2100,,2100-01-01
35,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,VOC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | VOC",Volatile organic compound emissions form the agriculture setor,kt/yr,2100,,2100-01-01
36,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,VOC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | VOC",Volatile organic compound emissions form the agriculture setor,kt/yr,2100,,2100-01-01
37,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by improved forest management,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by improved forest management",Area of land affected by improved foresst management,million Ha/yr,2100,,2100-01-01
38,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
39,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2100,,2100-01-01
40,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CO2",Carbon dioxide emissions from the agriculture sector,Mt CO2e/yr,2100,,2100-01-01
41,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CO2",Carbon dioxide emissions from the agriculture sector,Mt CO2e/yr,2100,,2100-01-01
42,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Hard coal,"Agriculture, Land Use and Forestry | Agriculture energy use | Hard coal",Coal consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
43,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Hard coal,"Agriculture, Land Use and Forestry | Agriculture energy use | Hard coal",Coal consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
44,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Natural gas,"Agriculture, Land Use and Forestry | Agriculture energy use | Natural gas",Natural consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
45,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Natural gas,"Agriculture, Land Use and Forestry | Agriculture energy use | Natural gas",Natural consumption by the agriculture sector,EJ/yr,2100,,2100-01-01
46,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest restoration",Area of land affected by forest restoration,million Ha/yr,2100,,2100-01-01
47,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest restoration",Area of land affected by forest restoration,million Ha/yr,2100,,2100-01-01
48,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM2.5,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM2.5",Particulate matter of 2.5 or less in diameter emissions from the agriculture sector,kt/yr,2100,,2100-01-01
49,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM2.5,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM2.5",Particulate matter of 2.5 or less in diameter emissions from the agriculture sector,kt/yr,2100,,2100-01-01
50,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Biomass,"Agriculture, Land Use and Forestry | Agriculture energy use | Biomass",Biomass consumption by the agricuture sector,EJ/yr,2100,,2100-01-01
51,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Biomass,"Agriculture, Land Use and Forestry | Agriculture energy use | Biomass",Biomass consumption by the agricuture sector,EJ/yr,2100,,2100-01-01
52,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by improved forest management,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by improved forest management",Area of land affected by improved foresst management,million Ha/yr,2100,,2100-01-01
53,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by peatland restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by peatland restoration",Area of land affected by petland restoration,million Ha/yr,2100,,2100-01-01
54,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by peatland restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by peatland restoration",Area of land affected by petland restoration,million Ha/yr,2090,,2090-01-01
55,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by avoided deforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by avoided deforestation",Area of land affected by avoided deforestation,million Ha/yr,2090,,2090-01-01
56,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by avoided deforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by avoided deforestation",Area of land affected by avoided deforestation,million Ha/yr,2090,,2090-01-01
57,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,N2O,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | N2O",Nitrous oxide emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
58,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,N2O,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | N2O",Nitrous oxide emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
59,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CH4,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CH4",Methane emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
60,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,N2O,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | N2O",Total anthropogenic nitrous oxide emissions from land use,Mt CO2e/yr,2090,,2090-01-01
61,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | CO2",Total anthropogenic carbon dioxide emissions from land use,Mt CO2e/yr,2090,,2090-01-01
62,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | CO2",Total anthropogenic carbon dioxide emissions from land use,Mt CO2e/yr,2090,,2090-01-01
63,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,F-gases,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | F-gases",F-gases emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
64,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,N2O,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | N2O",Total anthropogenic nitrous oxide emissions from land use,Mt CO2e/yr,2090,,2090-01-01
65,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,CH4,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | CH4",Total anthropogenic methane emissions from land use,Mt CO2e/yr,2090,,2090-01-01
66,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",LULUCF Anthropogenic GHG Emissions by Gas,CH4,"Agriculture, Land Use and Forestry | LULUCF Anthropogenic GHG Emissions by Gas | CH4",Total anthropogenic methane emissions from land use,Mt CO2e/yr,2090,,2090-01-01
67,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Heat,"Agriculture, Land Use and Forestry | Agriculture energy use | Heat",Heat consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
68,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Heat,"Agriculture, Land Use and Forestry | Agriculture energy use | Heat",Heat consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
69,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CH4,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CH4",Methane emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
70,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,CO,"Agriculture, Land Use and Forestry | Agriculture Pollutants | CO",Carbon monoxide emissions form the arigulture sector,kt/yr,2090,,2090-01-01
71,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,OC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | OC",Organic carbons emissions from the agriculture sector,kt/yr,2090,,2090-01-01
72,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,OC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | OC",Organic carbons emissions from the agriculture sector,kt/yr,2090,,2090-01-01
73,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,CO,"Agriculture, Land Use and Forestry | Agriculture Pollutants | CO",Carbon monoxide emissions form the arigulture sector,kt/yr,2090,,2090-01-01
74,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM10,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM10",Particulate matter of 2.5-10 micrometer in diameter emsisions form the agticulture sector,kt/yr,2090,,2090-01-01
75,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM10,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM10",Particulate matter of 2.5-10 micrometer in diameter emsisions form the agticulture sector,kt/yr,2090,,2090-01-01
76,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,BC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | BC",Black carbon emissions from the agriculture sector,kt/yr,2090,,2090-01-01
77,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,BC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | BC",Black carbon emissions from the agriculture sector,kt/yr,2090,,2090-01-01
78,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,F-gases,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | F-gases",F-gases emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
79,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,SOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | SOx",Sulfur oxides emissions from the agriculture sector,kt/yr,2090,,2090-01-01
80,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,SOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | SOx",Sulfur oxides emissions from the agriculture sector,kt/yr,2090,,2090-01-01
81,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest set-asides,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest set-asides",Area of land affected by forest set-asides,million Ha/yr,2090,,2090-01-01
82,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest set-asides,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest set-asides",Area of land affected by forest set-asides,million Ha/yr,2090,,2090-01-01
83,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by afforestation and reforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by afforestation and reforestation",Area of land affected by afforestation and reforestation,million Ha/yr,2090,,2090-01-01
84,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,NOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | NOx",Nitrogen oxides emissions from agriculture sector,kt/yr,2090,,2090-01-01
85,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,NOx,"Agriculture, Land Use and Forestry | Agriculture Pollutants | NOx",Nitrogen oxides emissions from agriculture sector,kt/yr,2090,,2090-01-01
86,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Petroleum diesel,"Agriculture, Land Use and Forestry | Agriculture energy use | Petroleum diesel",Petroleum diesel consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
87,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Petroleum diesel,"Agriculture, Land Use and Forestry | Agriculture energy use | Petroleum diesel",Petroleum diesel consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
88,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by afforestation and reforestation,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by afforestation and reforestation",Area of land affected by afforestation and reforestation,million Ha/yr,2090,,2090-01-01
89,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,VOC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | VOC",Volatile organic compound emissions form the agriculture setor,kt/yr,2090,,2090-01-01
90,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,VOC,"Agriculture, Land Use and Forestry | Agriculture Pollutants | VOC",Volatile organic compound emissions form the agriculture setor,kt/yr,2090,,2090-01-01
91,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by improved forest management,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by improved forest management",Area of land affected by improved foresst management,million Ha/yr,2090,,2090-01-01
92,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
93,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Electricity,"Agriculture, Land Use and Forestry | Agriculture energy use | Electricity",Electricity consumption by the agticulture sector,EJ/yr,2090,,2090-01-01
94,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CO2",Carbon dioxide emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
95,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture GHG Emissions by Gas,CO2,"Agriculture, Land Use and Forestry | Agriculture GHG Emissions by Gas | CO2",Carbon dioxide emissions from the agriculture sector,Mt CO2e/yr,2090,,2090-01-01
96,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Hard coal,"Agriculture, Land Use and Forestry | Agriculture energy use | Hard coal",Coal consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
97,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Hard coal,"Agriculture, Land Use and Forestry | Agriculture energy use | Hard coal",Coal consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
98,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture energy use,Natural gas,"Agriculture, Land Use and Forestry | Agriculture energy use | Natural gas",Natural consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
99,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture energy use,Natural gas,"Agriculture, Land Use and Forestry | Agriculture energy use | Natural gas",Natural consumption by the agriculture sector,EJ/yr,2090,,2090-01-01
100,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest restoration",Area of land affected by forest restoration,million Ha/yr,2090,,2090-01-01
101,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Land Cover,Land area affected by forest restoration,"Agriculture, Land Use and Forestry | Land Cover | Land area affected by forest restoration",Area of land affected by forest restoration,million Ha/yr,2090,,2090-01-01
102,India,"Energy Policy Simulator, India",Peak by 2040,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM2.5,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM2.5",Particulate matter of 2.5 or less in diameter emissions from the agriculture sector,kt/yr,2090,,2090-01-01
103,India,"Energy Policy Simulator, India",Business as Usual,"Agriculture, Land Use and Forestry",Agriculture Pollutants,PM2.5,"Agriculture, Land Use and Forestry | Agriculture Pollutants | PM2.5",Particulate matter of 2.5 or less in diameter emissions from the agriculture sector,kt/yr,2090,,2090-01-01
