,ISO,Country,Data source,Sector,Gas,Unit,Year,Value,Timestamp
42,PHL,Philippines,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,61.43,2021-01-01
43,BGD,Bangladesh,Climate Watch,Agriculture,CH4,MtCO₂e,2021,61.37,2021-01-01
44,CAN,Canada,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,61.33,2021-01-01
45,MMR,Myanmar,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,59.37,2021-01-01
46,TUR,Türkiye,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,56.67,2021-01-01
47,DEU,Germany,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,55.6,2021-01-01
48,THA,Thailand,Climate Watch,Agriculture,CH4,MtCO₂e,2021,54.14,2021-01-01
49,TCD,Chad,Climate Watch,Agriculture,CH4,MtCO₂e,2021,53.75,2021-01-01
50,AUS,Australia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,53.36,2021-01-01
51,KEN,Kenya,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,52.71,2021-01-01
52,RUS,Russia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,52.22,2021-01-01
53,RUS,Russia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,50.89,2021-01-01
54,GBR,United Kingdom,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,50.69,2021-01-01
55,PHL,Philippines,Climate Watch,Agriculture,CH4,MtCO₂e,2021,50.23,2021-01-01
56,NGA,Nigeria,Climate Watch,Agriculture,CH4,MtCO₂e,2021,49.0,2021-01-01
57,COL,Colombia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,48.77,2021-01-01
58,SDN,Sudan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,48.45,2021-01-01
59,ETH,Ethiopia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,48.32,2021-01-01
60,ARG,Argentina,Climate Watch,Agriculture,N2O,MtCO₂e,2021,48.22,2021-01-01
61,VNM,Vietnam,Climate Watch,Agriculture,CH4,MtCO₂e,2021,47.95,2021-01-01
62,MMR,Myanmar,Climate Watch,Agriculture,CH4,MtCO₂e,2021,46.88,2021-01-01
63,SSD,South Sudan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,46.76,2021-01-01
64,ESP,Spain,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,41.93,2021-01-01
65,NZL,New Zealand,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,41.36,2021-01-01
66,FRA,France,Climate Watch,Agriculture,CH4,MtCO₂e,2021,38.94,2021-01-01
67,UZB,Uzbekistan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,38.75,2021-01-01
68,MLI,Mali,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,38.5,2021-01-01
69,TZA,Tanzania,Climate Watch,Agriculture,CH4,MtCO₂e,2021,38.34,2021-01-01
70,VEN,Venezuela,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,37.9,2021-01-01
71,CAN,Canada,Climate Watch,Agriculture,N2O,MtCO₂e,2021,37.56,2021-01-01
72,MEX,Mexico,Climate Watch,Agriculture,N2O,MtCO₂e,2021,37.52,2021-01-01
73,IRN,Iran,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,35.35,2021-01-01
74,NER,Niger,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,34.94,2021-01-01
75,AGO,Angola,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,34.26,2021-01-01
76,KEN,Kenya,Climate Watch,Agriculture,CH4,MtCO₂e,2021,33.2,2021-01-01
77,POL,Poland,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,33.08,2021-01-01
78,UKR,Ukraine,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,32.98,2021-01-01
79,ITA,Italy,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,32.77,2021-01-01
80,ZAF,South Africa,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,32.22,2021-01-01
81,PRY,Paraguay,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,31.66,2021-01-01
82,NGA,Nigeria,Climate Watch,Agriculture,N2O,MtCO₂e,2021,31.29,2021-01-01
83,MNG,Mongolia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,31.04,2021-01-01
84,TUR,Türkiye,Climate Watch,Agriculture,N2O,MtCO₂e,2021,30.86,2021-01-01
85,DEU,Germany,Climate Watch,Agriculture,CH4,MtCO₂e,2021,30.19,2021-01-01
86,BOL,Bolivia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,30.1,2021-01-01
87,FRA,France,Climate Watch,Agriculture,N2O,MtCO₂e,2021,29.97,2021-01-01
88,KAZ,Kazakhstan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,29.01,2021-01-01
89,TCD,Chad,Climate Watch,Agriculture,N2O,MtCO₂e,2021,28.53,2021-01-01
90,SDN,Sudan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,28.37,2021-01-01
91,COD,Democratic Republic of the Congo,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,27.82,2021-01-01
92,UGA,Uganda,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,27.66,2021-01-01
93,URY,Uruguay,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,27.41,2021-01-01
94,NZL,New Zealand,Climate Watch,Agriculture,CH4,MtCO₂e,2021,27.17,2021-01-01
95,VEN,Venezuela,Climate Watch,Agriculture,CH4,MtCO₂e,2021,27.15,2021-01-01
96,GBR,United Kingdom,Climate Watch,Agriculture,CH4,MtCO₂e,2021,26.99,2021-01-01
97,BGD,Bangladesh,Climate Watch,Agriculture,N2O,MtCO₂e,2021,26.83,2021-01-01
98,PER,Peru,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,26.72,2021-01-01
99,SSD,South Sudan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,26.48,2021-01-01
100,NPL,Nepal,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,26.15,2021-01-01
101,TUR,Türkiye,Climate Watch,Agriculture,CH4,MtCO₂e,2021,25.81,2021-01-01
102,DEU,Germany,Climate Watch,Agriculture,N2O,MtCO₂e,2021,25.41,2021-01-01
103,ESP,Spain,Climate Watch,Agriculture,CH4,MtCO₂e,2021,25.09,2021-01-01
104,BFA,Burkina Faso,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,24.91,2021-01-01
105,UKR,Ukraine,Climate Watch,Agriculture,N2O,MtCO₂e,2021,24.0,2021-01-01
106,IRL,Ireland,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,23.91,2021-01-01
107,CAN,Canada,Climate Watch,Agriculture,CH4,MtCO₂e,2021,23.77,2021-01-01
108,GBR,United Kingdom,Climate Watch,Agriculture,N2O,MtCO₂e,2021,23.69,2021-01-01
109,BLR,Belarus,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,23.58,2021-01-01
110,TZA,Tanzania,Climate Watch,Agriculture,N2O,MtCO₂e,2021,23.38,2021-01-01
111,MLI,Mali,Climate Watch,Agriculture,CH4,MtCO₂e,2021,23.25,2021-01-01
112,UZB,Uzbekistan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,22.81,2021-01-01
113,MDG,Madagascar,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,22.75,2021-01-01
114,KHM,Cambodia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,22.5,2021-01-01
115,EGY,Egypt,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,22.26,2021-01-01
116,ZMB,Zambia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,22.26,2021-01-01
117,SOM,Somalia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,22.19,2021-01-01
118,NER,Niger,Climate Watch,Agriculture,CH4,MtCO₂e,2021,22.15,2021-01-01
119,PRY,Paraguay,Climate Watch,Agriculture,CH4,MtCO₂e,2021,21.77,2021-01-01
120,VNM,Vietnam,Climate Watch,Agriculture,N2O,MtCO₂e,2021,21.67,2021-01-01
121,JPN,Japan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,21.61,2021-01-01
122,ITA,Italy,Climate Watch,Agriculture,CH4,MtCO₂e,2021,21.24,2021-01-01
123,BOL,Bolivia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,20.63,2021-01-01
124,GIN,Guinea,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,20.46,2021-01-01
125,COL,Colombia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,20.4,2021-01-01
126,SSD,South Sudan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,20.29,2021-01-01
127,NPL,Nepal,Climate Watch,Agriculture,CH4,MtCO₂e,2021,20.09,2021-01-01
128,KEN,Kenya,Climate Watch,Agriculture,N2O,MtCO₂e,2021,19.51,2021-01-01
129,URY,Uruguay,Climate Watch,Agriculture,CH4,MtCO₂e,2021,19.3,2021-01-01
130,POL,Poland,Climate Watch,Agriculture,N2O,MtCO₂e,2021,18.59,2021-01-01
131,KAZ,Kazakhstan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,18.52,2021-01-01
132,NLD,Netherlands,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,18.25,2021-01-01
133,KHM,Cambodia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,18.19,2021-01-01
134,PER,Peru,Climate Watch,Agriculture,CH4,MtCO₂e,2021,18.04,2021-01-01
135,CAF,Central African Republic,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,17.95,2021-01-01
136,MOZ,Mozambique,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,17.87,2021-01-01
137,IRN,Iran,Climate Watch,Agriculture,N2O,MtCO₂e,2021,17.72,2021-01-01
138,IRN,Iran,Climate Watch,Agriculture,CH4,MtCO₂e,2021,17.63,2021-01-01
139,AGO,Angola,Climate Watch,Agriculture,CH4,MtCO₂e,2021,17.17,2021-01-01
140,AGO,Angola,Climate Watch,Agriculture,N2O,MtCO₂e,2021,17.09,2021-01-01
141,MNG,Mongolia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,16.87,2021-01-01
142,ESP,Spain,Climate Watch,Agriculture,N2O,MtCO₂e,2021,16.83,2021-01-01
143,THA,Thailand,Climate Watch,Agriculture,N2O,MtCO₂e,2021,16.59,2021-01-01
144,UGA,Uganda,Climate Watch,Agriculture,CH4,MtCO₂e,2021,16.55,2021-01-01
145,ZAF,South Africa,Climate Watch,Agriculture,N2O,MtCO₂e,2021,16.2,2021-01-01
146,MDG,Madagascar,Climate Watch,Agriculture,CH4,MtCO₂e,2021,16.13,2021-01-01
147,ZAF,South Africa,Climate Watch,Agriculture,CH4,MtCO₂e,2021,16.02,2021-01-01
148,SOM,Somalia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,16.01,2021-01-01
149,ROU,Romania,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,15.95,2021-01-01
150,UZB,Uzbekistan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,15.94,2021-01-01
151,MAR,Morocco,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,15.66,2021-01-01
152,MLI,Mali,Climate Watch,Agriculture,N2O,MtCO₂e,2021,15.25,2021-01-01
153,BFA,Burkina Faso,Climate Watch,Agriculture,CH4,MtCO₂e,2021,15.14,2021-01-01
154,AFG,Afghanistan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,14.88,2021-01-01
155,KOR,South Korea,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,14.86,2021-01-01
156,BLR,Belarus,Climate Watch,Agriculture,N2O,MtCO₂e,2021,14.57,2021-01-01
157,IRL,Ireland,Climate Watch,Agriculture,CH4,MtCO₂e,2021,14.52,2021-01-01
158,POL,Poland,Climate Watch,Agriculture,CH4,MtCO₂e,2021,14.5,2021-01-01
159,BWA,Botswana,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,14.22,2021-01-01
160,NZL,New Zealand,Climate Watch,Agriculture,N2O,MtCO₂e,2021,14.19,2021-01-01
161,MNG,Mongolia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,14.17,2021-01-01
162,GIN,Guinea,Climate Watch,Agriculture,CH4,MtCO₂e,2021,13.97,2021-01-01
163,COD,Democratic Republic of the Congo,Climate Watch,Agriculture,N2O,MtCO₂e,2021,13.95,2021-01-01
164,JPN,Japan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,13.89,2021-01-01
165,COD,Democratic Republic of the Congo,Climate Watch,Agriculture,CH4,MtCO₂e,2021,13.86,2021-01-01
166,CMR,Cameroon,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,13.3,2021-01-01
167,EGY,Egypt,Climate Watch,Agriculture,N2O,MtCO₂e,2021,13.21,2021-01-01
168,SEN,Senegal,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,12.86,2021-01-01
169,NER,Niger,Climate Watch,Agriculture,N2O,MtCO₂e,2021,12.79,2021-01-01
170,ECU,Ecuador,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,12.7,2021-01-01
171,DZA,Algeria,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,12.57,2021-01-01
172,MMR,Myanmar,Climate Watch,Agriculture,N2O,MtCO₂e,2021,12.48,2021-01-01
173,NIC,Nicaragua,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,12.14,2021-01-01
174,TKM,Turkmenistan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,11.97,2021-01-01
175,ZMB,Zambia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,11.87,2021-01-01
176,ITA,Italy,Climate Watch,Agriculture,N2O,MtCO₂e,2021,11.53,2021-01-01
177,NLD,Netherlands,Climate Watch,Agriculture,CH4,MtCO₂e,2021,11.37,2021-01-01
178,PHL,Philippines,Climate Watch,Agriculture,N2O,MtCO₂e,2021,11.19,2021-01-01
179,UGA,Uganda,Climate Watch,Agriculture,N2O,MtCO₂e,2021,11.11,2021-01-01
180,MYS,Malaysia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.84,2021-01-01
181,LAO,Laos,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.76,2021-01-01
182,VEN,Venezuela,Climate Watch,Agriculture,N2O,MtCO₂e,2021,10.76,2021-01-01
183,GTM,Guatemala,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.65,2021-01-01
184,AFG,Afghanistan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,10.63,2021-01-01
185,GHA,Ghana,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.55,2021-01-01
186,DNK,Denmark,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.49,2021-01-01
187,KAZ,Kazakhstan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,10.49,2021-01-01
188,ZMB,Zambia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,10.39,2021-01-01
189,CHL,Chile,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.34,2021-01-01
190,ZWE,Zimbabwe,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,10.33,2021-01-01
191,MWI,Malawi,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.93,2021-01-01
192,MRT,Mauritania,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.91,2021-01-01
193,PRY,Paraguay,Climate Watch,Agriculture,N2O,MtCO₂e,2021,9.88,2021-01-01
194,BFA,Burkina Faso,Climate Watch,Agriculture,N2O,MtCO₂e,2021,9.77,2021-01-01
195,KOR,South Korea,Climate Watch,Agriculture,CH4,MtCO₂e,2021,9.76,2021-01-01
196,CAF,Central African Republic,Climate Watch,Agriculture,CH4,MtCO₂e,2021,9.64,2021-01-01
197,CUB,Cuba,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.63,2021-01-01
198,DOM,Dominican Republic,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.48,2021-01-01
199,BOL,Bolivia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,9.46,2021-01-01
200,IRL,Ireland,Climate Watch,Agriculture,N2O,MtCO₂e,2021,9.4,2021-01-01
201,NAM,Namibia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.18,2021-01-01
202,BEL,Belgium,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,9.15,2021-01-01
203,EGY,Egypt,Climate Watch,Agriculture,CH4,MtCO₂e,2021,9.05,2021-01-01
204,MOZ,Mozambique,Climate Watch,Agriculture,CH4,MtCO₂e,2021,9.02,2021-01-01
205,BLR,Belarus,Climate Watch,Agriculture,CH4,MtCO₂e,2021,9.0,2021-01-01
206,UKR,Ukraine,Climate Watch,Agriculture,CH4,MtCO₂e,2021,8.98,2021-01-01
207,MOZ,Mozambique,Climate Watch,Agriculture,N2O,MtCO₂e,2021,8.85,2021-01-01
208,NIC,Nicaragua,Climate Watch,Agriculture,CH4,MtCO₂e,2021,8.72,2021-01-01
209,PER,Peru,Climate Watch,Agriculture,N2O,MtCO₂e,2021,8.68,2021-01-01
210,HUN,Hungary,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,8.37,2021-01-01
211,ECU,Ecuador,Climate Watch,Agriculture,CH4,MtCO₂e,2021,8.32,2021-01-01
212,CAF,Central African Republic,Climate Watch,Agriculture,N2O,MtCO₂e,2021,8.31,2021-01-01
213,ROU,Romania,Climate Watch,Agriculture,N2O,MtCO₂e,2021,8.28,2021-01-01
214,URY,Uruguay,Climate Watch,Agriculture,N2O,MtCO₂e,2021,8.11,2021-01-01
215,IRQ,Iraq,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,8.04,2021-01-01
216,MAR,Morocco,Climate Watch,Agriculture,N2O,MtCO₂e,2021,7.98,2021-01-01
217,SWE,Sweden,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.95,2021-01-01
218,YEM,Yemen,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.9,2021-01-01
219,AZE,Azerbaijan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.88,2021-01-01
220,LAO,Laos,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.77,2021-01-01
221,JPN,Japan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,7.72,2021-01-01
222,MAR,Morocco,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.68,2021-01-01
223,ROU,Romania,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.67,2021-01-01
224,CMR,Cameroon,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.64,2021-01-01
225,SEN,Senegal,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.45,2021-01-01
226,SAU,Saudi Arabia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.32,2021-01-01
227,AUT,Austria,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.22,2021-01-01
228,BWA,Botswana,Climate Watch,Agriculture,N2O,MtCO₂e,2021,7.2,2021-01-01
229,DZA,Algeria,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.1,2021-01-01
230,HND,Honduras,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.04,2021-01-01
231,BWA,Botswana,Climate Watch,Agriculture,CH4,MtCO₂e,2021,7.02,2021-01-01
232,GRC,Greece,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,7.01,2021-01-01
233,PRT,Portugal,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.99,2021-01-01
234,TJK,Tajikistan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.94,2021-01-01
235,NLD,Netherlands,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.88,2021-01-01
236,FIN,Finland,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.78,2021-01-01
237,CUB,Cuba,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.7,2021-01-01
238,MRT,Mauritania,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.7,2021-01-01
239,MDG,Madagascar,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.62,2021-01-01
240,GTM,Guatemala,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.57,2021-01-01
241,GIN,Guinea,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.49,2021-01-01
242,CIV,Côte d'Ivoire,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.46,2021-01-01
243,MYS,Malaysia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.41,2021-01-01
244,CZE,Czech Republic,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.38,2021-01-01
245,LKA,Sri Lanka,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,6.38,2021-01-01
246,TKM,Turkmenistan,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.37,2021-01-01
247,DOM,Dominican Republic,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.36,2021-01-01
248,SOM,Somalia,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.18,2021-01-01
249,ZWE,Zimbabwe,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.08,2021-01-01
250,NPL,Nepal,Climate Watch,Agriculture,N2O,MtCO₂e,2021,6.06,2021-01-01
251,DNK,Denmark,Climate Watch,Agriculture,CH4,MtCO₂e,2021,6.04,2021-01-01
252,MWI,Malawi,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.99,2021-01-01
253,SYR,Syria,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.98,2021-01-01
254,BEL,Belgium,Climate Watch,Agriculture,CH4,MtCO₂e,2021,5.95,2021-01-01
255,BEN,Benin,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.89,2021-01-01
256,HUN,Hungary,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.8,2021-01-01
257,KGZ,Kyrgyzstan,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.72,2021-01-01
258,LTU,Lithuania,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.68,2021-01-01
259,CMR,Cameroon,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.66,2021-01-01
260,BGR,Bulgaria,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.62,2021-01-01
261,TKM,Turkmenistan,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.6,2021-01-01
262,GHA,Ghana,Climate Watch,Agriculture,CH4,MtCO₂e,2021,5.57,2021-01-01
263,SRB,Serbia,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.57,2021-01-01
264,CHE,Switzerland,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.47,2021-01-01
265,DZA,Algeria,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.46,2021-01-01
266,SEN,Senegal,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.42,2021-01-01
267,CHL,Chile,Climate Watch,Agriculture,CH4,MtCO₂e,2021,5.32,2021-01-01
268,NOR,Norway,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.3,2021-01-01
269,KOR,South Korea,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.1,2021-01-01
270,NAM,Namibia,Climate Watch,Agriculture,CH4,MtCO₂e,2021,5.08,2021-01-01
271,PRK,North Korea,Climate Watch,Agriculture,All GHG,MtCO₂e,2021,5.03,2021-01-01
272,CHL,Chile,Climate Watch,Agriculture,N2O,MtCO₂e,2021,5.01,2021-01-01
273,GHA,Ghana,Climate Watch,Agriculture,N2O,MtCO₂e,2021,4.99,2021-01-01
274,PRT,Portugal,Climate Watch,Agriculture,CH4,MtCO₂e,2021,4.8,2021-01-01
275,LKA,Sri Lanka,Climate Watch,Agriculture,CH4,MtCO₂e,2021,4.76,2021-01-01
276,SWE,Sweden,Climate Watch,Agriculture,N2O,MtCO₂e,2021,4.76,2021-01-01
